Unnamed: 0,member1,member2,weight
4974,211551769,158793082,2
5622,32671432,110832222,2
24502,28573892,176110612,1
18281,195657825,203184347,1
23394,195231923,161882042,1
2756,214729620,204412550,2
19189,228655199,183381715,1
1252,214761951,211626236,2
17205,204669023,208064791,1
14504,182190122,212623518,1
16224,30179402,217856665,1
15676,21561411,179275302,1
10342,223055408,189716705,2
10805,184389351,48232882,3
3818,212403372,230684071,2
16424,34340942,9562847,1
8316,44927672,183901653,2
16141,30179402,57907252,1
20914,96862332,200677897,1
493,84738292,11909964,2
9420,14486634,217160398,2
3245,209224665,116582132,2
15225,101056562,221789220,1
5778,26576702,93428882,2
3020,225412049,199972329,2
18902,209453152,220902665,1
2653,204211075,188972315,2
3382,209224665,202087007,2
14016,115965992,95610902,1
23803,191758521,81247262,1
14292,115965992,188141522,1
155,6160486,71531062,3
20061,6160486,108477342,1
11076,191106824,204914631,3
5716,202311485,225531109,2
6565,48400472,192863475,3
23783,191758521,216421300,1
22966,117571752,158401652,1
22092,190939281,191758521,1
7989,125274672,5173635,2
23639,191758521,109089102,1
21874,85557392,186743497,1
20290,6160486,195645353,1
20912,96862332,178014712,1
6825,225249498,8111102,2
20375,209944678,9358849,1
17631,204669023,35708292,1
19638,6160486,134017962,1
3914,195757297,203055322,2
20250,6160486,205860494,1
18411,195657825,101211042,1
17215,204669023,18276751,1
21246,185106564,131098662,1
16583,25034832,195951151,1
24737,230457540,5914717,1
19450,6160486,187371529,1
4273,210011474,71038612,2
4611,230884769,71851852,2
1040,226853216,228825955,2
3869,212403372,12476061,2
17146,214466652,163960702,1
23013,117571752,200532900,1
13060,226754592,204645789,1
5677,215910105,121431352,2
16886,229015643,227348607,1
969,185532751,21563471,2
6719,3016909,49816142,2
17107,214466652,230327993,1
4557,230884769,218816696,2
17119,214466652,43237102,1
11405,211554226,182626228,2
11409,211554226,102815822,2
12344,183566364,62010092,1
4580,230884769,194099532,2
24078,28246202,158781422,1
3971,195757297,6765365,2
12228,216072216,229173683,1
23532,223051958,204794650,1
781,207061281,190557229,2
21184,24641662,11596419,1
3044,225412049,205330458,2
19737,6160486,216139125,1
20,217350178,122666992,2
15467,229310518,215312542,1
3332,209224665,82097062,2
9862,184028419,69653682,2
8879,192711483,195329871,2
5107,203818557,141055762,2
5838,13993792,99375412,2
